ID       STAR          RA         DEC           B           V
-- ---------- ----------- ----------- ----------- -----------
 1       GD50 03:48:48.00 -00:57:00.0      13.820      13.980
 2        HZ4 03:55:21.77 +09:47:18.4      14.620      14.470
 3      LB227 04:09:28.50 +17:07:55.2      15.440      15.350
 4        HZ2 04:12:43.49 +11:51:50.6      13.810      13.860
 5    G191B2B 05:05:30.61 +52:49:51.9      11.400      11.790
 6       GD71 05:52:27.50 +15:53:17.0      12.810      13.060
 7   BD+75325 08:10:49.49 +74:57:57.9      9.2100      9.5000
 8  AGK+81266 09:21:19.18 +81:43:27.6      11.900      12.100
 9      GD108 10:00:47.00 -07:33:30.0      13.330      13.560
10    FEIGE34 10:39:36.74 +43:06:09.3      10.840      11.000
11    HD93521 10:48:23.51 +37:34:13.1      6.7900      7.0600
12       HZ21 12:13:56.27 +32:56:31.4      13.860      14.220
13    FEIGE66 12:37:23.52 +25:03:59.9      10.240      10.640
14    FEIGE67 12:41:51.79 +17:31:19.8      11.700      12.100
15      GD153 12:57:02.00 +22:02:00.0      13.170      13.400
16       HZ43 13:16:21.85 +29:05:55.4      12.520      12.660
17       HZ44 13:23:35.26 +36:07:59.5      11.180      11.300
18 GRW+705824 13:38:50.47 +70:17:07.6      12.700      12.800
19  BD+332642 15:51:59.89 +32:56:54.3      10.650      10.810
20  ALPHA-LYR 18:36:56.34 +38:47:01.3    0.030000    0.030000
21    LDS749B 21:32:16.10 +00:15:15.0      14.550      14.580
22  BD+284211 21:51:11.02 +28:51:50.4      10.220      10.540
23     G93-48 21:52:25.38 +02:23:19.6      12.790      12.730
24  BD+254655 21:59:41.97 +26:25:57.4      9.3900      9.6800
25    NGC7293 22:29:38.55 -20:50:13.6      13.150      13.540
26    LTT9491 23:19:35.00 -17:05:30.0      14.030      14.040
27   FEIGE110 23:19:58.40 -05:09:56.2      11.600      11.400
