# Line      Center   llimit  ulimit  type  
#########################################
OII_3727    3727.42  3717.0  3737.0  em     
NeIII_3869  3868.75  3859.0  3879.0  em    
Ca_K        3933.66  3919.0  3949.0  abs   
Ca_H        3968.45  3953.0  3983.0  abs   
H_delta_em  4101.74  4082.0  4121.0  both  
H_delta_abs 4101.74  4082.0  4121.0  both  
G_band      4305.00  4285.0  4325.0  abs
H_gamma_em  4340.47  4320.0  4355.0  both  
H_gamma_abs 4340.47  4320.0  4355.0  both  
OIII_4363   4363.21  4353.0  4373.0  em    
H_beta_emo  4861.33  4841.0  4881.0  em  
H_beta_em   4861.33  4841.0  4881.0  both  
H_beta_abs  4861.33  4841.0  4881.0  both  
OIII_4959   4958.91  4949.0  4969.0  em    
OIII_5007   5006.84  4997.0  5017.0  em
HeI_5876    5875.67  5866.0  5886.0  em
Na_D        5891.94  5881.0  5906.0  abs  
OI_6300     6300.30  6290.0  6310.0  em    
NII_6548    6548.03  6533.0  6553.0  em    
H_alpha_emo 6562.82  6553.0  6573.0  em  
H_alpha_em  6562.82  6553.0  6573.0  both  
H_alpha_abs 6562.82  6553.0  6573.0  both  
NII_6584    6583.41  6573.0  6593.0  em      
HeI_6679    6678.15  6668.0  6688.0  em
SII_6717    6716.47  6704.0  6724.0  em   
SII_6731    6730.85  6724.0  6744.0  em    
