# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: MMT UV36                      "
# "DATE: "" 7/26/91"   "TIME: ""14:45: 6"
# " CWL= "  4476.40A  "FWHM= "  206.71A  "TMAX= "***** %
# "TCUTOFF= " 2.00 %   SLIT = 10.0 A
# 
# "ERRMS2: DATA NEVER REACHES HI WAVELENGTH %T CUTOFF"   
# "ERRMS3: CENTRAL WAVELENGTH & FWHM CANNOT BE CALCULATED"         
# 
# "NPTS= " 901     "DISP= "10.0000A/INTERVAL
   3000.00     -.005
   3010.00     -.005
   3020.00     -.005
   3030.00     -.005
   3040.00     -.005
   3050.00     -.005
   3060.00     -.005
   3070.00     -.005
   3080.00     -.005
   3090.00     -.005
   3100.00     -.005
   3110.00     -.005
   3120.00     -.005
   3130.00     -.005
   3140.00      .000
   3150.00     -.005
   3160.00     -.005
   3170.00     -.005
   3180.00     -.010
   3190.00     -.020
   3200.00     -.005
   3210.00     -.005
   3220.00     -.005
   3230.00     -.005
   3240.00     -.005
   3250.00     -.005
   3260.00      .000
   3270.00     -.005
   3280.00      .000
   3290.00      .000
   3300.00      .015
   3310.00      .040
   3320.00      .100
   3330.00      .215
   3340.00      .430
   3350.00      .780
   3360.00     1.305
   3370.00     2.085
   3380.00     3.145
   3390.00     4.525
   3400.00     6.255
   3410.00     8.305
   3420.00    10.670
   3430.00    13.325
   3440.00    16.215
   3450.00    19.315
   3460.00    22.530
   3470.00    25.815
   3480.00    29.135
   3490.00    32.490
   3500.00    35.810
   3510.00    39.015
   3520.00    42.075
   3530.00    45.080
   3540.00    47.915
   3550.00    50.640
   3560.00    53.275
   3570.00    55.620
   3580.00    57.885
   3590.00    60.040
   3600.00    62.080
   3610.00    63.920
   3620.00    65.670
   3630.00    67.280
   3640.00    68.815
   3650.00    70.240
   3660.00    71.470
   3670.00    72.800
   3680.00    73.890
   3690.00    75.005
   3700.00    75.995
   3710.00    76.955
   3720.00    77.850
   3730.00    78.705
   3740.00    79.505
   3750.00    80.210
   3760.00    80.865
   3770.00    81.440
   3780.00    82.035
   3790.00    82.880
   3800.00    83.470
   3810.00    84.000
   3820.00    84.485
   3830.00    85.000
   3840.00    85.435
   3850.00    85.900
   3860.00    86.310
   3870.00    86.715
   3880.00    87.120
   3890.00    87.525
   3900.00    87.835
   3910.00    88.180
   3920.00    88.490
   3930.00    88.820
   3940.00    89.045
   3950.00    89.390
   3960.00    89.695
   3970.00    89.910
   3980.00    90.160
   3990.00    90.445
   4000.00    90.640
   4010.00    90.910
   4020.00    91.090
   4030.00    91.290
   4040.00    91.505
   4050.00    91.725
   4060.00    91.815
   4070.00    92.060
   4080.00    92.280
   4090.00    92.365
   4100.00    92.545
   4110.00    92.700
   4120.00    92.910
   4130.00    92.985
   4140.00    93.135
   4150.00    93.305
   4160.00    93.450
   4170.00    93.580
   4180.00    93.695
   4190.00    93.820
   4200.00    93.910
   4210.00    94.035
   4220.00    94.115
   4230.00    94.245
   4240.00    94.375
   4250.00    94.500
   4260.00    94.615
   4270.00    94.705
   4280.00    94.800
   4290.00    94.875
   4300.00    94.995
   4310.00    95.075
   4320.00    95.155
   4330.00    95.205
   4340.00    95.345
   4350.00    95.460
   4360.00    95.535
   4370.00    95.640
   4380.00    95.695
   4390.00    95.800
   4400.00    95.865
   4410.00    95.960
   4420.00    96.015
   4430.00    96.080
   4440.00    96.125
   4450.00    96.220
   4460.00    96.300
   4470.00    96.375
   4480.00    96.450
   4490.00    96.495
   4500.00    96.590
   4510.00    96.710
   4520.00    96.735
   4530.00    96.780
   4540.00    96.835
   4550.00    96.870
   4560.00    96.960
   4570.00    96.995
   4580.00    97.035
   4590.00    97.110
   4600.00    97.180
   4610.00    97.240
   4620.00    97.300
   4630.00    97.340
   4640.00    97.370
   4650.00    97.465
   4660.00    97.515
   4670.00    97.595
   4680.00    97.620
   4690.00    97.685
   4700.00    97.740
   4710.00    97.770
   4720.00    97.840
   4730.00    97.875
   4740.00    97.925
   4750.00    97.965
   4760.00    97.995
   4770.00    98.070
   4780.00    98.100
   4790.00    98.145
   4800.00    98.210
   4810.00    98.235
   4820.00    98.300
   4830.00    98.355
   4840.00    98.385
   4850.00    98.425
   4860.00    98.430
   4870.00    98.540
   4880.00    98.545
   4890.00    98.575
   4900.00    98.605
   4910.00    98.640
   4920.00    98.620
   4930.00    98.705
   4940.00    98.695
   4950.00    98.755
   4960.00    98.780
   4970.00    98.810
   4980.00    98.850
   4990.00    98.870
   5000.00    98.890
   5010.00    98.955
   5020.00    98.970
   5030.00    98.990
   5040.00    99.025
   5050.00    99.065
   5060.00    99.105
   5070.00    99.120
   5080.00    99.165
   5090.00    99.210
   5100.00    99.200
   5110.00    99.255
   5120.00    99.285
   5130.00    99.285
   5140.00    99.310
   5150.00    99.340
   5160.00    99.355
   5170.00    99.390
   5180.00    99.375
   5190.00    99.405
   5200.00    99.465
   5210.00    99.470
   5220.00    99.465
   5230.00    99.510
   5240.00    99.540
   5250.00    99.570
   5260.00    99.555
   5270.00    99.590
   5280.00    99.590
   5290.00    99.625
   5300.00    99.635
   5310.00    99.685
