*EG21                                                                         
*                                                                             
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*                                                                             
  3300        94623.680
  3350        96827.695
  3400        96116.953
  3450        93669.898
  3500        92554.953
  3550        92214.641
  3600        93325.383
  3650        93411.398
  3700        91960.148
  3750        91033.219
  3800        90865.758
  3850        91960.148
  3900        91201.094
  3950        92725.633
  4000        99357.352
  4050       115771.078
  4100        81208.180
  4150       113135.742
  4200       132312.281
  4250       129300.414
  4300       105099.406
  4350        75927.609
  4400       110866.367
  4450       125545.219
  4500       129062.414
  4550       127997.102
  4600       126357.250
  4650       124394.164
  4700       121450.609
  4750       115771.078
  4800       102329.242
  4850        71449.570
  4900        85427.969
  4950       105196.148
  5000       109849.891
  5050       110255.406
  5100       110458.719
  5150       110052.578
  5200       109143.938
  5250       107745.625
  5300       106561.375
  5350       105002.516
  5400       103657.258
  5450       102612.422
  5500       101671.625
  5550       100461.547
  5600        99265.867
  5650        97813.734
  5700        96382.945
  5750        94885.539
  5800        94275.758
  5850        93583.648
  5900        91960.148
  5950        90198.586
  6000        89125.156
  6050        88226.703
  6100        87659.711
  6150        87256.883
  6200        86297.828
  6250        84566.789
  6300        82489.742
  6350        82413.789
  6400        80686.297
  6450        77767.836
  6500        71055.906
  6550        56182.355
  6600        63153.844
  6650        72710.969
  6700        75578.773
  6750        75857.781
  6800        75093.070
  6850        74473.156
  6900        73858.438
  6950        73248.711
  7000        72644.016
  7050        71978.062
  7100        71383.859
  7150        70729.375
  7200        70080.898
  7250        69438.438
  7300        68801.867
  7350        68171.062
  7400        67546.031
  7450        66926.742
  7500        66252.141
  7550        65644.703
  7600        64983.027
  7650        64328.016
  7700        63738.227
  7750        63095.762
  7800        62459.707
  7850        61830.129
  7900        61206.832
  7950        60589.820
  8000        59979.090
  8050        59374.520
  8100        58775.977
  8150        58183.531
  8200        57597.059
  8250        57016.434
  8300        56441.660
  8350        55872.746
  8400        55309.504
  8450        54752.000
  8500        54200.113
  8550        53653.734
  8600        53112.918
  8650        52625.953
  8700        52095.500
  8750        51570.336
  8800        51097.570
  8850        50769.191
  8900        50350.023
  8950        50118.758
  9000        49659.242
  9050        49158.691
  9100        49385.527
  9150        49203.945
  9200        47424.211
  9250        46472.883
  9300        48216.965
  9350        48439.508
  9400        48439.508
  9450        47511.613
  9500        45373.238
  9550        43411.016
  9600        43772.371
  9650        44422.164
  9700        44586.148
  9750        44340.445
  9800        44136.684
  9850        43571.223
  9900        42383.824
  9950        40738.039
 10000        38832.918
#10050        37119.328
#10100        38229.609
#10150        41342.789
