*eg274                                                                        
*                                                                             
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*                                                                             
  3300       207969.828
  3350       209314.984
  3400       205305.156
  3450       196245.609
  3500       194088.422
  3550       192132.062
  3600       191073.266
  3650       188973.141
  3700       185353.219
  3750       182137.891
  3800       179473.250
  3850       178813.344
  3900       176847.969
  3950       169511.781
  4000       180967.391
  4050       195524.047
  4100       148867.391
  4150       188625.312
  4200       203985.766
  4250       198609.422
  4300       171080.141
  4350       135020.500
  4400       178155.875
  4450       188625.312
  4500       188104.953
  4550       185523.844
  4600       182305.547
  4650       178484.203
  4700       173620.172
  4750       168577.641
  4800       154881.688
  4850       117489.672
  4900       137784.297
  4950       156458.906
  5000       158781.516
  5050       157615.844
  5100       155883.469
  5150       154739.078
  5200       152615.953
  5250       150383.375
  5300       147366.859
  5350       145344.891
  5400       143879.859
  5450       141775.078
  5500       139701.234
  5550       137657.438
  5600       135643.828
  5650       133659.531
  5700       131825.641
  5750       129897.195
  5800       128115.070
  5850       126357.250
  5900       124738.406
  5950       123026.789
  6000       121450.609
  6050       119784.234
  6100       118249.602
  6150       116734.625
  6200       115345.273
  6250       113867.508
  6300       112512.273
  6350       111173.172
  6400       109849.891
  6450       107349.461
  6500       101484.594
  6550        83791.531
  6600        92640.359
  6650       101391.148
  6700       102612.422
  6750       101391.148
  6800       100184.406
  6850        99083.148
  6900        97903.883
  6950        96827.695
  7000        95763.547
  7050        94623.680
  7100        93583.648
  7150        92554.953
  7200        91453.477
  7250        90448.195
  7300        89454.062
  7350        88470.758
  7400        87498.359
  7450        86456.969
  7500        85506.703
  7550        84566.789
  7600        83714.289
  7650        82794.258
  7700        81884.164
  7750        80984.156
  7800        80094.039
  7850        79213.625
  7900        78415.172
  7950        77553.297
  8000        76700.812
  8050        75927.609
  8100        75093.070
  8150        74267.711
  8200        73519.031
  8250        72777.977
  8300        71978.062
  8350        71252.461
  8400        70469.312
  8450        69758.930
  8500        69055.781
  8550        68359.719
  8600        67608.289
  8650        66926.742
  8700        66252.141
  8750        65584.336
  8800        64923.191
  8850        64268.785
  8900        63620.902
  8950        62979.555
  9000        62344.738
  9050        61716.320
  9100        61150.477
  9150        60534.098
  9200        59923.863
  9250        59319.848
  9300        58775.977
  9350        58183.531
  9400        57650.074
  9450        57068.980
  9500        56545.742
  9550        55975.777
  9600        55462.566
  9650        54903.520
  9700        54400.137
  9750        53901.371
  9800        53358.059
  9850        52868.848
  9900        52384.121
  9950        51903.895
 10000        49158.691
 10050        44874.535
 10100        48261.402
 10150        49659.242
