*f110                                                                         
*                                                                             
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*                                                                             
  3300       146960.156
  3350       148320.031
  3400       144278.031
  3450       137151.281
  3500       134524.047
  3550       132678.297
  3600       130978.469
  3650       127761.500
  3700       124279.625
  3750       122236.156
  3800       120781.453
  3850       120559.133
  3900       117597.953
  3950       114287.859
  4000       114393.188
  4050       115557.977
  4100       102801.648
  4150       110052.578
  4200       106757.883
  4250       104423.984
  4300       101111.445
  4350        91201.094
  4400        97903.883
  4450        96028.453
  4500        94449.609
  4550        92554.953
  4600        90698.500
  4650        88389.297
  4700        85192.211
  4750        85349.312
  4800        83791.531
  4850        75162.273
  4900        80315.609
  4950        80537.781
  5000        79067.906
  5050        77553.297
  5100        76630.188
  5150        75718.148
  5200        74748.070
  5250        73316.133
  5300        71978.062
  5350        71121.312
  5400        68738.445
  5450        68738.445
  5500        67732.961
  5550        66680.656
  5600        65463.613
  5650        64268.785
  5700        62805.816
  5750        61944.082
  5800        61376.148
  5850        60813.488
  5900        59538.766
  5950        58938.633
  6000        57969.598
  6050        56911.484
  6100        55411.500
  6150        54250.008
  6200        53112.918
  6250        51760.711
  6300        50489.359
  6350        50535.891
  6400        50072.555
  6450        49659.242
  6500        48977.887
  6550        44668.367
  6600        47336.918
  6650        47511.613
  6700        47249.785
  6750        46773.473
  6800        46259.375
  6850        45248.070
  6900        44627.238
  6950        43531.102
  7000        43211.574
  7050        42501.070
  7100        42072.668
  7150        41763.801
  7200        41228.691
  7250        40700.484
  7300        40179.047
  7350        39192.250
  7400        38976.227
  7450        38583.359
  7500        38018.934
  7550        37462.805
  7600        37256.316
  7650        36812.895
  7700        35677.969
  7750        36008.066
  7800        35875.672
  7850        35318.305
  7900        34833.719
  7950        34577.992
  8000        34072.160
  8050        33635.641
  8100        33174.172
  8150        32598.699
  8200        32240.365
  8250        31856.646
  8300        30760.963
  8350        31246.408
  8400        30988.459
  8450        30647.857
  8500        30450.900
  8550        30088.445
  8600        29730.338
  8650        29403.566
  8700        28946.752
  8750        28654.977
  8800        28470.826
  8850        27643.965
  8900        27440.990
  8950        27139.381
  9000        26841.088
  9050        26546.043
  9100        26254.270
  9150        25965.676
  9200        25680.281
  9250        25398.025
  9300        25118.869
  9350        24842.783
  9400        24569.705
  9450        24322.021
  9500        24054.721
  9550        23790.305
  9600        23528.820
  9650        23291.631
  9700        23035.604
  9750        22782.439
  9800        22552.773
  9850        22304.867
  9900        22080.041
  9950        21837.354
#10000        21677.039
