*feige56                                                                      
*                                                                             
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*                                                                             
  3300       116734.625
  3350       117597.953
  3400       116734.625
  3450       115027.078
  3500       114393.188
  3550       115239.070
  3600       116198.320
  3650       116734.625
  3700       119784.234
  3750       140475.219
  3800       165500.781
  3850       179638.641
  3900       181635.234
  3950       177991.828
  4000       190546.156
  4050       194267.516
  4100       167957.797
  4150       188278.109
  4200       187758.719
  4250       183484.703
  4300       176847.969
  4350       158197.516
  4400       175226.547
  4450       172981.609
  4500       171395.812
  4550       169355.703
  4600       167957.797
  4650       166111.562
  4700       164285.797
  4750       161435.750
  4800       159074.312
  4850       139958.703
  4900       154454.250
  4950       155883.469
  5000       152194.781
  5050       149416.938
  5100       148320.031
  5150       146689.812
  5200       143747.375
  5250       143218.672
  5300       142429.594
  5350       141644.531
  5400       140475.219
  5450       139187.422
  5500       137911.438
  5550       137151.281
  5600       136019.062
  5650       133168.078
  5700       131340.938
  5750       130376.578
  5800       129062.414
  5850       128824.992
  5900       125083.469
  5950       124853.234
  6000       124279.625
  6050       122913.641
  6100       121898.953
  6150       120670.109
  6200       119563.883
  6250       117814.812
  6300       114921.164
  6350       114921.164
  6400       114604.008
  6450       113658.039
  6500       112512.273
  6550       102801.648
  6600       109647.812
  6650       110458.719
  6700       109849.891
  6750       108842.852
  6800       107250.617
  6850       105876.562
  6900       104809.352
  6950       103561.820
  7000       103181.031
  7050       102329.242
  7100       101111.445
  7150       100184.406
  7200        98809.812
  7250        97813.734
  7300        97095.648
  7350        97006.359
  7400        96116.953
  7450        95587.172
  7500        94623.680
  7550        93756.125
  7600        91706.469
  7650        91706.469
  7700        90949.398
  7750        90531.555
  7800        89618.922
  7850        89125.156
  7900        88064.305
  7950        87659.711
  8000        86856.008
  8050        86218.367
  8100        85349.312
  8150        84178.266
  8200        83253.047
  8250        82641.773
  8300        81357.938
  8350        81283.023
  8400        80686.297
  8450        79725.984
  8500        79579.320
  8550        79579.320
  8600        78198.773
  8650        77911.242
  8700        81507.961
  8750        75231.547
  8800        82565.766
  8850        74610.484
  8900        79652.578
  8950        80315.609
  9000        72443.617
  9050        76912.984
  9100        78559.781
  9150        77481.805
  9200        73858.438
  9250        70274.836
  9300        74816.961
  9350        73654.602
  9400        72912.188
  9450        72110.719
  9500        72044.398
  9550        64624.918
  9600        70794.562
  9650        70145.562
  9700        70145.562
  9750        69374.500
  9800        69055.781
  9850        68865.203
  9900        68675.227
  9950        68548.820
 10000        67670.594
 10050        64387.230
 10100        66435.484
