*h600                                                                         
*                                                                             
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*                                                                             
  3300       158343.312
  3350       162779.547
  3400       162629.844
  3450       162031.688
  3500       163230.016
  3550       166878.422
  3600       169355.703
  3650       173779.984
  3700       174260.906
  3750       188278.109
  3800       205305.156
  3850       221819.734
  3900       224491.359
  3950       224905.344
  4000       232059.906
  4050       239001.078
  4100       218373.547
  4150       237246.484
  4200       242772.797
  4250       240104.172
  4300       233991.328
  4350       215575.812
  4400       232059.906
  4450       231419.484
  4500       238781.016
  4550       239883.359
  4600       238781.016
  4650       238341.750
  4700       237903.047
  4750       238122.297
  4800       237903.047
  4850       218977.859
  4900       234206.969
  4950       240547.203
  5000       238561.141
  5050       239662.484
  5100       240990.531
  5150       241434.938
  5200       243893.312
  5250       244568.250
  5300       245697.047
  5350       246150.125
  5400       246831.312
  5450       245923.484
  5500       246831.312
  5550       247286.219
  5600       247286.219
  5650       244568.250
  5700       242996.547
  5750       242103.078
  5800       241879.891
  5850       243220.219
  5900       234638.859
  5950       240768.625
  6000       240104.172
  6050       239883.359
  6100       239662.484
  6150       237903.047
  6200       235721.828
  6250       234638.859
  6300       228665.156
  6350       232916.312
  6400       232701.844
  6450       232701.844
  6500       230568.578
  6550       214585.172
  6600       227614.609
  6650       230993.516
  6700       230568.578
  6750       232059.906
  6800       229932.266
  6850       228244.266
  6900       228665.156
  6950       226360.281
  7000       226568.641
  7050       224078.391
  7100       225320.078
  7150       224284.906
  7200       222228.547
  7250       220394.219
  7300       219785.984
  7350       219785.984
  7400       219785.984
  7450       218977.859
  7500       218574.797
  7550       217770.891
  7600       216371.391
  7650       216371.391
  7700       213206.141
  7750       213993.203
  7800       213796.172
  7850       214387.828
  7900       212422.219
  7950       212226.625
  8000       211640.938
  8050       210668.828
  8100       209507.656
  8150       207395.875
  8200       206633.078
  8250       205305.156
  8300       204550.281
  8350       203423.047
  8400       203423.047
  8450       202301.797
  8500       202861.656
  8550       203610.297
  8600       198975.672
  8650       199894.047
  8700       204550.281
  8750       193731.375
  8800       205494.375
  8850       192309.141
  8900       201557.969
  8950       203423.047
  9000       187585.828
  9050       194446.328
  9100       200262.656
  9150       197514.938
  9200       191601.828
  9250       185353.219
  9300       194088.422
  9350       195884.391
  9400       194804.906
  9450       194267.516
  9500       190897.328
  9550       178319.859
  9600       186723.812
  9650       190195.438
  9700       189495.891
  9750       188799.141
  9800       187585.828
  9850       186552.094
  9900       185695.016
  9950       184331.578
 10000       180634.078
 10050       173300.406
 10100       182810.062
