*LTT377 
*                              
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*
3300   6522
3350   6906                                                              
3400   7119
3450   7191
3500   7406
3550   7900
3600   8279
3650   8774
3700   8937
3750   9350
3800   10510
3850   11036
3900   11251
3950   11056
4000   12717
4050   13292
4100   12978
4150   13880
4200   13983
4250   14164
4300   14151
4350   13919
4400   14983
4450   15360
4500   15820
4550   16010
4600   16308
4650   16565
4700   16827
4750   17077
4800   17266
4850   16626
4900   17701
4950   18113
5000   18231
5050   18416
5100   18655
5150   18880
5200   19055
5250   19373
5300   19715
5350   19898
5400   20082
5450   20342
5500   20587
5550   20663
5600   20893
5650   20989
5700   20989
5750   21164
5800   21498
5850   21797
5900   21757
5950   21999
6000   22141
6050   22202
6100   22325
6150   22325
6200   22532
6250   22511
6300   22408
6350   22782
6400   22909
6450   23036
6500   23078
6550   21757
6600   23227
6650   23725
6700   23834
6750   23966
6800   24010
6850   24081
6900   24158
6950   24233
7000   24305
7050   24374
7100   24440
7150   24503
7200   24563
7250   24620
7300   24674
7350   24725
7400   24774
7450   24819
7500   24862
7550   24902
7600   24940
7650   24974
7700   25006
7750   25036
7800   25063
7850   25087
7900   25109
7950   25128
8000   25145
8050   25159
8100   25172
8150   25181
8200   25189
8250   25194
8300   25197
8350   25198
8400   25197
8450   25194
8500   25189
8550   25182
8600   25173
8650   25162
8700   25149
8750   25135
8800   25119
8850   25101
8900   25082
8950   25061
9000   25038
9050   25014
9100   24989
9150   24962
9200   24934
9250   24905
9300   24874
9350   24842
9400   24809
9450   24775
9500   24740
9550   24704
9600   24667
9650   24629
9700   24591
9750   24551
9800   24511
9850   24470
9900   24429
9950   24387
10000   24344
10050   24301
10100   24257

