*ltt377                                                                       
*                                                                             
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*                                                                             
  3300        31188.893
  3350        31332.844
  3400        32930.633
  3450        33204.711
  3500        34577.992
  3550        37016.887
  3600        37051.004
  3650        41114.957
  3700        43451.023
  3750        45498.805
  3800        52674.457
  3850        54903.520
  3900        56545.742
  3950        49842.508
  4000        70339.602
  4050        76207.898
  4100        73451.414
  4150        81357.938
  4200        82035.164
  4250        82110.672
  4300        77054.906
  4350        80020.211
  4400        87498.359
  4450        91201.094
  4500        95235.711
  4550        95763.547
  4600        98627.938
  4650        99632.203
  4700       100925.219
  4750       102329.242
  4800       104231.773
  4850        96116.953
  4900       103086.141
  4950       106757.883
  5000       105876.562
  5050       108442.531
  5100       110764.406
  5150       109143.938
  5200       109445.984
  5250       112305.180
  5300       115239.070
  5350       116091.328
  5400       116950.023
  5450       119234.047
  5500       120670.109
  5550       122011.297
  5600       121674.570
  5650       123480.945
  5700       123594.742
  5750       125314.133
  5800       126357.250
  5850       127761.500
  5900       126473.562
  5950       128587.867
  6000       128115.070
  6050       129419.578
  6100       129777.734
  6150       129538.711
  6200       131825.641
  6250       130857.867
  6300       130376.578
  6350       132678.297
  6400       132922.953
  6450       133168.078
  6500       133045.469
  6550       124394.164
  6600       133782.719
  6650       136395.469
  6700       137277.688
  6750       137530.828
  6800       137530.828
  6850       137657.438
  6900       138038.391
  6950       138675.500
  7000       139059.266
  7050       139444.094
  7100       139572.453
  7150       139701.234
  7200       139701.234
  7250       139829.828
  7300       139958.703
  7350       140087.688
  7400       140087.688
  7450       140216.797
  7500       140216.797
  7550       140346.016
  7600       140346.016
  7650       140346.016
  7700       140346.016
  7750       140346.016
  7800       140346.016
  7850       140346.016
  7900       140346.016
  7950       140346.016
  8000       140346.016
  8050       140346.016
  8100       140216.797
  8150       140216.797
  8200       140216.797
  8250       140087.688
  8300       139958.703
  8350       139958.703
  8400       139444.094
  8450       138931.219
  8500       136647.000
  8550       133413.500
  8600       138420.391
  8650       133906.000
  8700       137784.297
  8750       136898.828
  8800       137404.203
  8850       137025.156
  8900       137530.828
  8950       138420.391
  9000       137277.688
  9050       137784.297
  9100       137657.438
  9150       137404.203
  9200       137151.281
  9250       136898.828
  9300       136647.000
  9350       136395.469
  9400       136144.562
  9450       135893.812
  9500       135643.828
  9550       135269.641
  9600       135020.500
  9650       134772.109
  9700       134400.172
  9750       134152.797
  9800       133782.719
  9850       133413.500
  9900       133168.078
  9950       132800.562
 10000       132434.078
 10050       132068.734
 10100       131704.266
 10150       131340.938
 10200       130978.469
 10250       130617.141
 10300       130136.734
