*ltt4364                                                                      
*                                                                             
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*                                                                             
  3300        61432.781
  3350        64268.785
  3400        64803.688
  3450        65644.703
  3500        66680.656
  3550        68675.227
  3600        71186.859
  3650        72912.188
  3700        74748.070
  3750        75927.609
  3800        77553.297
  3850        78995.016
  3900        79799.461
  3950        80537.781
  4000        81208.180
  4050        81884.164
  4100        82489.742
  4150        82794.258
  4200        83483.352
  4250        84023.320
  4300        84255.758
  4350        84178.266
  4400        85192.211
  4450        85901.352
  4500        85822.258
  4550        85980.523
  4600        85664.289
  4650        83945.961
  4700        82794.258
  4750        86297.828
  4800        88145.461
  4850        88879.188
  4900        89371.695
  4950        89618.922
  5000        88879.188
  5050        86936.055
  5100        84644.727
  5150        84333.500
  5200        90781.992
  5250        91117.117
  5300        91117.117
  5350        91285.141
  5400        91201.094
  5450        90698.500
  5500        90448.195
  5550        90198.586
  5600        90614.992
  5650        91117.117
  5700        91117.117
  5750        90614.992
  5800        91201.094
  5850        91537.664
  5900        90698.500
  5950        90865.758
  6000        90781.992
  6050        90698.500
  6100        90531.555
  6150        90448.195
  6200        90531.555
  6250        89949.758
  6300        88879.188
  6350        90032.656
  6400        90198.586
  6450        90364.914
  6500        90115.633
  6550        89866.938
  6600        90115.633
  6650        90198.586
  6700        90281.812
  6750        90032.656
  6800        89784.188
  6850        89454.062
  6900        89125.156
  6950        88797.352
  7000        88552.391
  7050        88226.703
  7100        87902.203
  7150        87579.000
  7200        87256.883
  7250        86936.055
  7300        86616.398
  7350        86377.359
  7400        86059.766
  7450        85743.242
  7500        85427.969
  7550        85113.773
  7600        84800.727
  7650        84488.922
  7700        84178.266
  7750        83945.961
  7800        83637.297
  7850        83329.773
  7900        83023.289
  7950        82641.773
  8000        82337.906
  8050        82035.164
  8100        81733.438
  8150        81432.914
  8200        81133.500
  8250        80760.656
  8300        80463.711
  8350        80167.773
  8400        79799.461
  8450        79505.961
  8500        79140.688
  8550        78777.094
  8600        78487.359
  8650        78126.766
  8700        77767.836
  8750        77410.461
  8800        77054.906
  8850        76700.812
  8900        76348.430
  8950        75927.609
  9000        75578.773
  9050        75231.547
  9100        74816.961
  9150        74404.664
  9200        74062.750
  9250        73654.602
  9300        73248.711
  9350        72844.969
  9400        72443.617
  9450        71978.062
  9500        71581.406
  9550        71121.312
  9600        70729.375
  9650        70274.836
  9700        69823.219
  9750        69374.500
  9800        68928.672
  9850        68485.703
  9900        67982.922
  9950        67546.031
 10000        67050.234
 10050        66557.922
 10100        66069.297
 10150        65584.336
 10200        65102.859
