*LTT7379
*                                                                             
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*                                                                             
3300   66069
3350   66009
3400   72244
3450   72711
3500   77339
3550   83253
3600   81658
3650   94102
3700   98537
3750   96472
3800   109749
3850   105390
3900   111892
3950   96205
4000   147231
4050   161287
4100   165806
4150   177011
4200   175711
4250   170765
4300   157471
4350   179473
4400   190195
4450   206633
4500   219381
4550   221615
4600   229932
4650   235071
4700   238342
4750   243893
4800   249115
4850   239001
4900   249345
4950   257039
5000   255623
5050   262059
5100   267917
5150   261336
5200   262785
5250   277204
5300   286550
5350   288935
5400   291608
5450   297303
5500   302831
5550   307326
5600   306478
5650   314775
5700   316228
5750   321810
5800   325087
5850   329306
5900   323594
5950   331131
6000   332353
6050   336667
6100   338532
6150   338221
6200   345144
6250   343242
6300   343242
6350   350590
6400   352533
6450   352533
6500   354487
6550   340095
6600   359749
6650   365763
6700   368129
6750   369828
6800   369713
6850   371408
6900   373043
6950   374617
7000   376130
7050   377584
7100   378978
7150   380313
7200   381590
7250   382809
7300   383970
7350   385074
7400   386123
7450   387116
7500   388055
7550   388939
7600   389771
7650   390550
7700   391278
7750   391956
7800   392584
7850   393164
7900   393696
7950   394182
8000   394622
8050   395018
8100   395370
8150   395680
8200   395949
8250   396178
8300   396368
8350   396521
8400   397009
8450   397009
8500   390481
8550   377746
8600   398107
8650   383001
8700   394094
8750   396525
8800   396391
8850   396232
8900   396049
8950   395843
9000   395614
9050   395365
9100   395097
9150   394811
9200   394507
9250   394188
9300   393855
9350   393508
9400   393150
9450   392780
9500   392402
9550   392015
9600   391620
9650   391221
9700   390816
9750   390409
9800   389998
9850   389588
9900   389177
9950   388768
10000   388361
10050   387958
10100   387560
10150   387168
10200   386901
