*LTT9239                                                                      
*                                                                             
*  From Hamuy et al. Telluric lines removed by Bessell                        
 set .z.units = "micro-Janskys"
 set .z.label  = "Flux"
 set .table.bandwidth = 50
*                                                                             
  3300        13477.212
  3350        13601.905
  3400        14709.576
  3450        14845.672
  3500        15761.585
  3550        16595.861
  3600        17013.754
  3650        19089.734
  3700        19072.156
  3750        19072.156
  3800        21203.145
  3850        21438.783
  3900        21320.615
  3950        19552.404
  4000        27925.445
  4050        29376.492
  4100        30338.902
  4150        31622.777
  4200        31651.920
  4250        31448.510
  4300        29730.338
  4350        33327.289
  4400        35188.406
  4450        37462.805
  4500        39084.090
  4550        39700.883
  4600        40888.383
  4650        41763.801
  4700        42657.965
  4750        43651.570
  4800        44504.082
  4850        43451.023
  4900        45666.715
  4950        46773.473
  5000        47032.711
  5050        48083.953
  5100        48932.793
  5150        48216.965
  5200        49158.691
  5250        51144.605
  5300        52335.945
  5350        52917.570
  5400        53653.734
  5450        54651.219
  5500        55616.051
  5550        56545.742
  5600        56650.020
  5650        57809.617
  5700        58344.547
  5750        58830.145
  5800        59868.754
  5850        60645.727
  5900        60534.098
  5950        61376.148
  6000        61716.320
  6050        62574.816
  6100        63037.664
  6150        63445.395
  6200        64268.785
  6250        64505.965
  6300        64150.488
  6350        65644.703
  6400        65887.039
  6450        66374.312
  6500        66557.922
  6550        63914.613
  6600        67920.406
  6650        68675.227
  6700        69310.625
  6750        69630.523
  6800        70080.898
  6850        70469.312
  6900        70859.805
  6950        71252.461
  7000        71581.406
  7050        71978.062
  7100        72310.273
  7150        72644.016
  7200        72912.188
  7250        73248.711
  7300        73519.031
  7350        73790.430
  7400        74062.750
  7450        74336.156
  7500        74610.484
  7550        74816.961
  7600        75093.070
  7650        75300.883
  7700        75509.188
  7750        75718.148
  7800        75857.781
  7850        76067.703
  7900        76207.898
  7950        76418.711
  8000        76559.711
  8050        76700.812
  8100        76771.500
  8150        76912.984
  8200        77054.906
  8250        77125.836
  8300        77196.914
  8350        77268.062
  8400        77125.836
  8450        77268.062
  8500        76137.727
  8550        74610.484
  8600        77410.461
  8650        75231.547
  8700        77268.062
  8750        77624.688
  8800        77696.227
  8850        77696.227
  8900        77696.227
  8950        77696.227
  9000        77624.688
  9050        77624.688
  9100        77624.688
  9150        77553.297
  9200        77553.297
  9250        77481.805
  9300        77481.805
  9350        77410.461
  9400        77339.273
  9450        77268.062
  9500        77196.914
  9550        77125.836
  9600        77054.906
  9650        76983.875
  9700        76912.984
  9750        76842.250
  9800        76771.500
  9850        76700.812
  9900        76559.711
  9950        76489.133
 10000        76418.711
 10050        76278.133
 10100        76207.898
 10150        76137.727
 10200        75997.578
