# file      star       ra(1950)  dec(1950)
sp01.dat  PG0205+134  02:05:21.3 +13:22:18
sp02.dat  PG0216+032  02:16:43.0 +03:13:08
sp03.dat  PG0310+149  03:10:49.9 +14:55:14
sp04.dat  HZ14        04:38:15.6 +10:53:57
sp05.dat  G191B2B     05:01:31.5 +52:45:52
sp06.dat  Hiltner600  06:42:37.2 +02:11:25
sp07.dat  PG0823+546  08:23:01.0 +54:37:58
sp08.dat  PG0846+249  08:46:07.9 +24:56:25
sp09.dat  PG0934+554  09:34:49.8 +55:19:15
sp10.dat  PG0939+262  09:39:58.8 +26:14:42
sp11.dat  Feige34     10:36:41.2 +43:21:50
sp12.dat  PG1121+145  11:21:39.4 +14:30:18
sp13.dat  GD140       11:34:27.5 +30:04:27
sp14.dat  EG81        11:34:51.3 +14:26:58
sp15.dat  Feige66     12:34:54.7 +25:20:31
sp16.dat  Feige67     12:39:18.9 +17:47:24
sp17.dat  HZ44        13:21:19.0 +36:23:39
sp18.dat  PG1545+035  15:45:53.9 +03:32:03
sp19.dat  PG1708+602  17:08:35.9 +60:13:52
sp20.dat  HD192281    20:10:46.8 +40:07:01
sp21.dat  CygOB2No.9  20:31:23.0 +41:04:50
sp22.dat  Wolf1346    20:32:12.9 +24:53:32
sp23.dat  BD+28 4211  21:48:57.1 +28:37:48
sp24.dat  HD217086    22:54:49.0 +62:27:35
sp25.dat  Feige110    23:17:23.5 -05:26:22
